mu,binarization_residual,is_binarized,energy,binary_cut_value,gradient_norm,theta_0,theta_1,theta_2,hess_eig_0,hess_eig_1,hess_eig_2
0.001,0.867632511762146,0,-1.4992501250625174,2.0,4.560468730414015e-12,-2.091171883605894,2.0981959941795982,0.0035085485239541516,7.49833493894663e-10,1.4987498750483865,1.5012508747019817
0.004001000500250125,0.866896633591971,0,-1.4970012546358584,2.0,2.411811083261813e-10,-2.0926500045282532,2.0984555444733743,0.002891225521732435,4.802878349014877e-08,1.4949967455730353,1.5050152445013791
0.00700200100050025,0.8661571120706946,0,-1.494754649281126,2.0,1.0202044247718973e-09,-2.094131625698179,2.098717727176858,0.002277162506152038,2.5744681373340623e-07,1.4912413510229077,1.5087953349290717
0.010003001500750376,0.8654139297862521,0,-1.4925103192468896,2.0,2.180926904082961e-09,-2.0956167582001304,2.0989825579801655,0.0016663163655555133,7.506399964002848e-07,1.487483680278491,1.5125911176834363
0.013004002001000499,0.8646670804872176,0,-1.4902682748437657,2.0,3.050307908152666e-09,-2.0971053907787938,2.099250075008801,0.0010586664711789242,1.6492479898674637e-06,1.483723722883426,1.5164025644184342
0.016005002501250625,0.8639165692415447,0,-1.4880285264435225,2.0,2.444765335497591e-09,-2.0985974898099564,2.0995203388572348,0.0004542143835477905,3.0748990146746978e-06,1.4799614690376466,1.520229646760319
0.01900600300150075,0.8633136329712184,0,-1.4857910844782243,2.0,1.3276934182108825e-09,-2.1000929992816597,2.099793432614921,-0.00014701644152861695,5.1491951499628866e-06,1.4761969095904541,1.5240723363242688
0.022007003501750874,0.8631742970045659,0,-1.4835559594393748,2.0,1.0464843335430177e-08,-2.101591840786263,2.10006946188461,-0.0007449809481343212,7.9936980066464e-06,1.4724300360325198,1.5279306047318657
0.025008004002001,0.8630333476931552,0,-1.4813231618771,2.0,2.766695624524964e-08,-2.10309391353515,2.100348554781027,-0.001339612787588144,1.1729914789252026e-05,1.4686608404868275,1.5318044236294583
0.028009004502251127,0.8628907067165905,0,-1.4790927023993432,2.0,5.61326991770891e-08,-2.104599094391105,2.1006308619152745,-0.0019308246331500233,1.64792848316582e-05,1.4648893156976959,1.5356937647082138
