u0,seed,cut,energy
0.004999999999999999,0,12.0,-8.96534264103255
0.004999999999999999,1,12.0,-8.96534264103255
0.004999999999999999,2,12.0,-8.96534264103255
0.004999999999999999,3,12.0,-8.96534264103255
0.004999999999999999,4,12.0,-8.96534264103255
0.005034693157380135,0,12.0,-8.965102166390743
0.005034693157380135,1,12.0,-8.965102166390743
0.005034693157380135,2,12.0,-8.965102166390743
0.005034693157380135,3,12.0,-8.965102166390743
0.005034693157380135,4,12.0,-8.965102166390743
0.005069627037794076,0,12.0,-8.964860023184016
0.005069627037794076,1,12.0,-8.964860023184016
0.005069627037794076,2,12.0,-8.964860023184016
0.005069627037794076,3,12.0,-8.964860023184016
0.005069627037794076,4,12.0,-8.964860023184016
0.005104803311530232,0,12.0,-8.964616199834815
0.005104803311530232,1,12.0,-8.964616199834815
0.005104803311530232,2,12.0,-8.964616199834815
0.005104803311530232,3,12.0,-8.964616199834815
0.005104803311530232,4,12.0,-8.964616199834815
0.005140223660466548,0,12.0,-8.964370684685246
0.005140223660466548,1,12.0,-8.964370684685246
0.005140223660466548,2,12.0,-8.964370684685246
0.005140223660466548,3,12.0,-8.964370684685246
0.005140223660466548,4,12.0,-8.964370684685246
0.005175889778150881,0,12.0,-8.964123465996535
0.005175889778150881,1,12.0,-8.964123465996535
0.005175889778150881,2,12.0,-8.964123465996535
0.005175889778150881,3,12.0,-8.964123465996535
0.005175889778150881,4,12.0,-8.964123465996535
0.005211803369882005,0,12.0,-8.963874531948447
0.005211803369882005,1,12.0,-8.963874531948447
0.005211803369882005,2,12.0,-8.963874531948447
0.005211803369882005,3,12.0,-8.963874531948447
0.005211803369882005,4,12.0,-8.963874531948447
0.005247966152791138,0,12.0,-8.963623870638738
0.005247966152791138,1,12.0,-8.963623870638738
0.005247966152791138,2,12.0,-8.963623870638738
0.005247966152791138,3,12.0,-8.963623870638738
0.005247966152791138,4,12.0,-8.963623870638738
0.005284379855924019,0,12.0,-8.963371470082576
0.005284379855924019,1,12.0,-8.963371470082576
0.005284379855924019,2,12.0,-8.963371470082576
0.005284379855924019,3,12.0,-8.963371470082576
0.005284379855924019,4,12.0,-8.963371470082576
0.0053210462203236225,0,12.0,-8.963117318211971
0.0053210462203236225,1,12.0,-8.963117318211971
0.0053210462203236225,2,12.0,-8.963117318211971
0.0053210462203236225,3,12.0,-8.963117318211971
0.0053210462203236225,4,12.0,-8.963117318211971
0.005357966999113355,0,12.0,-8.962861402875197
0.005357966999113355,1,12.0,-8.962861402875197
0.005357966999113355,2,12.0,-8.962861402875197
0.005357966999113355,3,12.0,-8.962861402875197
0.005357966999113355,4,12.0,-8.962861402875197
0.005395143957580917,0,12.0,-8.96260371183621
0.005395143957580917,1,12.0,-8.96260371183621
0.005395143957580917,2,12.0,-8.96260371183621
0.005395143957580917,3,12.0,-8.96260371183621
0.005395143957580917,4,12.0,-8.96260371183621
0.005432578873262691,0,12.0,-8.96234423277407
0.005432578873262691,1,12.0,-8.96234423277407
0.005432578873262691,2,12.0,-8.96234423277407
0.005432578873262691,3,12.0,-8.96234423277407
0.005432578873262691,4,12.0,-8.96234423277407
0.005470273536028711,0,12.0,-8.962082953282343
0.005470273536028711,1,12.0,-8.962082953282343
0.005470273536028711,2,12.0,-8.962082953282343
0.005470273536028711,3,12.0,-8.962082953282343
0.005470273536028711,4,12.0,-8.962082953282343
0.005508229748168284,0,12.0,-8.96181986086851
0.005508229748168284,1,12.0,-8.96181986086851
0.005508229748168284,2,12.0,-8.96181986086851
0.005508229748168284,3,12.0,-8.96181986086851
0.005508229748168284,4,12.0,-8.96181986086851
0.005546449324476113,0,12.0,-8.961554942953372
0.005546449324476113,1,12.0,-8.961554942953372
0.005546449324476113,2,12.0,-8.961554942953372
0.005546449324476113,3,12.0,-8.961554942953372
